0 40.0 20.0 1
1 30.0 26.0 0
3 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
17 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 5
18 -15.0 -2.5 1
0 40.0 20.0 1
5 30.0 26.0 11
4 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
12 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 7
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 20
16 15.4 0.0 3
17 0.0 4.0 2
1 0.0 0.0 -1
15 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 2
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 12
3 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
3 0.0 0.0 -1
9 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 8
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 14
8 15.4 0.0 3
2 0.0 4.0 2
11 0.0 0.0 -1
13 0.0 0.0 -1
12 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 10
18 -15.0 -2.5 1
14 40.0 20.0 1
1 30.0 26.0 8
3 15.4 0.0 3
14 0.0 4.0 2
11 0.0 0.0 -1
3 0.0 0.0 -1
14 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 20
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 0
3 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
17 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 5
18 -15.0 -2.5 1
0 40.0 20.0 1
5 30.0 26.0 11
4 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
12 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 7
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 20
16 15.4 0.0 3
17 0.0 4.0 2
1 0.0 0.0 -1
15 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 2
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 12
3 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
3 0.0 0.0 -1
9 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 8
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 14
8 15.4 0.0 3
2 0.0 4.0 2
11 0.0 0.0 -1
13 0.0 0.0 -1
12 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 10
18 -15.0 -2.5 1
14 40.0 20.0 1
1 30.0 26.0 8
3 15.4 0.0 3
14 0.0 4.0 2
11 0.0 0.0 -1
3 0.0 0.0 -1
14 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 20
18 -15.0 -2.5 1
19 99.0 -10.0 5
18 -15.0 -2.5 1
0 40.0 20.0 1
5 30.0 26.0 11
4 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
12 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 7
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 20
16 15.4 0.0 3
17 0.0 4.0 2
1 0.0 0.0 -1
15 0.0 0.0 -1
2 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 2
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 12
3 15.4 0.0 3
2 0.0 4.0 2
1 0.0 0.0 -1
3 0.0 0.0 -1
9 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 8
18 -15.0 -2.5 1
0 40.0 20.0 1
1 30.0 26.0 14
8 15.4 0.0 3
2 0.0 4.0 2
11 0.0 0.0 -1
13 0.0 0.0 -1
12 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 10
18 -15.0 -2.5 1
14 40.0 20.0 1
1 30.0 26.0 8
3 15.4 0.0 3
14 0.0 4.0 2
11 0.0 0.0 -1
3 0.0 0.0 -1
14 0.0 0.0 -1
0 0.0 0.0 -1
19 99.0 -10.0 20
18 -15.0 -2.5 1
